id_levels,id_reading,date_reading,temperature_min,temperature_max,humidity_min,humidity_max,dioxide_min,dioxide_max,uv_min,uv_max
"1","1","2021-07-01 00:00:00","18","28","64","75","450","667","0.16","1.09"
"3","3","2021-07-03 02:49:53","20","33","64","81","500","700","0.16","1.15"
"5","5","2021-07-05 02:52:54","18","33","62","90","453","673","0.05","1.17"
"6","6","2021-07-06 02:55:33","19","31","81","81","460","700","0.09","1.21"
"7","7","2021-07-07 02:56:26","18","33","62","87","489","685","0.08","1.31"
"8","8","2021-07-08 02:55:42","18","32","63","93","459","701","0.05","1.27"
"9","9","2021-07-09 02:58:11","18","33","64","98","458","697","0.04","1.3"
"10","10","2021-07-10 02:58:53","17","33","51","100","465","703","0.05","1.31"
"11","11","2021-07-11 02:58:18","20","30","55","83","523","709","0.12","1.18"
"12","12","2021-07-12 03:01:46","22","33","60","82","500","700","0.08","1.31"
"13","13","2021-07-13 03:02:15","18","30","60","90","452","703","0.14","1.3"
"14","14","2021-07-14 03:01:32","20","24","62","81","460","600","0.01","1.19"
"15","15","2021-07-15 03:03:15","20","27","71","85","495","682","0.5","1.05"
"16","16","2021-07-16 03:04:17","18","33","62","98","550","650","0.03","1.3"
"17","17","2021-07-17 03:04:39","18","30","61","80","450","700","0.02","0.19"
"18","18","2021-07-18 03:05:54","20","25","61","76","458","700","0.1","0.23"
"26","212","2021-08-19 00:00:00","18","26","74","79","464","650","0.21","0.28"
"27","34","2021-07-27 03:21:25","18","30","72","100","459","560","0.1","1.19"
"28","14","2021-07-20 03:06:05","18","32","68","82","471","700","0.15","0.99"
"35","35","2021-08-19 08:20:41","23","26","68","80","462","600","0","1.22"
"42","42","2021-08-19 08:19:06","20","29","62","79","480","700","0.2","1.14"
"43","37","2021-07-22 03:17:53","18","30","62","89","451","600","0.08","0.46"
"44","38","2021-07-23 03:17:18","18","30","65","83","500","700","0.18","0.98"
"45","36","2021-07-25 03:20:18","18","25","70","82","492","602","0.54","1.07"
"46","24","2021-07-26 03:19:35","18","31","63","83","456","700","0.22","0.97"
"47","29","2021-07-28 03:22:02","19","32","67","85","463","650","0.77","1.03"
"48","32","2021-07-29 03:21:28","18","25","63","79","532","681","0.12","1.13"
"58","58","2021-08-02 03:32:29","19","30","71","84","633","684","0.72","1.13"
"88","88","2021-08-11 03:49:35","30","31","61","63","596","700","1.03","1.1"
"89","89","2021-08-14 03:51:53","26","32","72","81","702","709","1.1","1.17"
"105","105","2021-07-02 02:46:54","19","28","53","76","650","656","0.25","1.15"
"108","108","2021-07-04 02:08:26","20","28","63","78","459","667","0.07","1.3"
"361","28","2021-07-31 03:23:47","18","32","61","100","509","707","0.23","1.3"
"366","366","2021-07-30 03:30:46","18","29","70","97","481","700","0.06","1.02"
"367","25","2021-08-01 03:23:03","18","28","70","79","473","689","0.17","1.26"
"368","49","2021-08-03 03:33:31","22","29","79","95","512","698","0.64","1.33"
"369","50","2021-08-04 03:32:28","18","33","78","100","485","655","0.36","1.08"
"372","372","2021-08-08 03:47:25","18","30","70","78","601","707","0.65","1.03"
"376","61","2021-08-06 03:35:41","20","28","61","87","481","638","0.15","0.38"
"377","85","2021-08-07 03:41:54","28","28","73","75","521","524","0.84","0.89"
"378","378","2021-08-11 03:49:36","30","31","61","63","596","700","1.03","1.1"
"382","65","2021-08-09 03:42:31","18","31","60","80","456","710","0.14","1.21"
"383","66","2021-08-10 03:43:08","26","33","66","76","476","627","0.51","1.06"
"384","79","2021-08-12 03:48:00","19","26","63","99","500","641","0.04","1.26"
"385","96","2021-08-13 03:47:13","18","26","68","79","550","700","0.05","0.25"
"386","80","2021-08-15 03:53:00","18","20","65","80","500","519","0.03","0.5"
"387","1","2021-08-16 03:51:52","25","31","76","89","501","600","0.98","1.1"
